condition,cellId,mean_speed,max_speed,std_speed,total_displacement,trajectory_length,mean_area,std_area,mean_volume,std_volume,residence_time,lateral_migration
Diabetes,231,0.015635265344403966,0.021425788105210248,0.004961613995256211,4.0682168403491e-06,4.255747419833816e-06,1.2938792857142857e-10,4.741142172570783e-13,8.153803571428573e-17,2.0067154703235812e-19,28,4.141e-08
Healthy,-756,0.015784246214477507,0.016199517262390883,0.00025838361236172697,3.4087710555997336e-05,3.409075800733774e-05,1.3780433179723502e-10,2.2900684448272536e-12,8.116023548387096e-17,4.419355768232832e-20,217,9.467000000000023e-07
Healthy,-743,0.01676361336116612,0.01701908594726409,6.452364618424755e-05,5.093163260439139e-05,5.095155815269615e-05,1.3151207540983605e-10,1.5514189613501427e-12,8.103984295081967e-17,1.5698865126627216e-20,305,8.38700000000001e-07
Healthy,-739,0.014793785702407821,0.015452715656781173,0.00011855414797814339,6.9502969329640155e-06,6.950318976857771e-06,1.3309058333333335e-10,1.4893713272231106e-14,8.119587083333334e-17,3.423880984045587e-21,48,1.4779999999999882e-07
Healthy,-737,0.01653727550449621,0.017134330472731316,0.0004321507909628192,4.4628581618436064e-05,4.464453390704907e-05,1.370590885608856e-10,4.2062876409078174e-12,8.110680516605167e-17,3.832708030001987e-20,271,3.89699999999999e-07
Healthy,-732,0.013860499910421124,0.013991763829317544,6.81128582519176e-05,5.958352516434388e-06,5.95839261699794e-06,1.2658097727272727e-10,2.0609080056157452e-13,8.120747272727273e-17,4.6855226625816325e-21,44,1.3314999999999973e-07
Healthy,-722,0.014243924862306924,0.014621209105089484,0.00012726451606826148,1.5093485065936098e-05,1.5093593259115466e-05,1.2597928971962615e-10,2.0641138260689003e-12,8.10859214953271e-17,1.6564767270445946e-20,107,8.520000000000047e-08
Healthy,-721,0.017802927168112992,0.018040098068897132,0.00014762711896470636,2.865606943073249e-05,2.8657502684200973e-05,1.3169713580246914e-10,2.397283272459371e-13,8.111268395061729e-17,5.309722870969772e-21,162,2.160999999999995e-07
Healthy,-710,0.015859207370072653,0.016521961878549953,0.0004795509839600194,4.5810359378626674e-05,4.582515099801077e-05,1.4035199655172414e-10,1.2483182888034116e-12,8.106441103448276e-17,2.1096717851752356e-20,290,7.730999999999994e-07
Healthy,-680,0.013842185334772876,0.01403409418399233,5.363365383479883e-05,1.2038344070468996e-05,1.2038369227717628e-05,1.2511431818181817e-10,3.6663667208940723e-13,8.113481250000001e-17,2.4342296806033238e-21,88,1.0499999999999984e-07
Healthy,-679,0.017010889311235594,0.017356750167056102,0.00010597149493150468,3.2311515142995463e-05,3.2313362934590564e-05,1.3916168586387434e-10,5.736292455283588e-13,8.103915130890052e-17,1.1993348413704224e-20,191,7.125000000000004e-07
Healthy,-659,0.017604766475889797,0.017777180769678432,8.04029347122248e-05,3.291310088900724e-05,3.291569644432379e-05,1.2926571276595745e-10,1.2958380570104392e-12,8.110266063829789e-17,1.239662898878557e-20,188,6.171000000000013e-07
Healthy,-640,0.016827653894045426,0.017056255640223998,5.479814493426647e-05,4.322943895885414e-05,4.3238169495278254e-05,1.31065492248062e-10,1.5856290684587083e-12,8.113432635658914e-17,1.7934179351409933e-20,258,7.056000000000005e-07
Healthy,-629,0.01469839103781621,0.015690351943824236,0.0005786902915969825,4.246317470400772e-05,4.246826820777209e-05,1.3349209655172413e-10,1.924196072004482e-12,8.103334344827585e-17,1.2005340874857717e-20,290,6.359000000000001e-07
Healthy,-586,0.01626562179166943,0.01650178311091791,0.00013900341218373008,2.6181073518016787e-05,2.6183797833337136e-05,1.292599074074074e-10,2.8346266063777322e-12,8.105617901234568e-17,4.558391784877979e-21,162,1.536999999999999e-07
Healthy,-580,0.015886847678304047,0.01640660680609519,0.0002672175293699285,3.4309577978923666e-05,3.431393304331767e-05,1.371099723502304e-10,1.4547783079073864e-12,8.113838433179725e-17,1.9050902419584156e-20,217,2.130299999999999e-07
Healthy,-579,0.01619613317287537,0.01638668370148347,6.359429544405385e-05,2.266775914042067e-05,2.266825416775203e-05,1.3158929787234042e-10,8.467483919144626e-13,8.108084539007091e-17,1.9428758048600133e-20,141,1.8723999999999992e-07
Healthy,-563,0.017196246317248726,0.017565123967461033,0.00011702748076619109,1.8048758108263988e-05,1.8049414142623623e-05,1.388168113207547e-10,3.5711865743708655e-13,8.105608490566039e-17,1.070115073876946e-20,106,7.459999999999925e-08
Healthy,-552,0.01438394310216815,0.01464034685583814,7.588139573784839e-05,3.450792468057156e-06,3.450820754188362e-06,1.3303444e-10,1.8798538950319287e-13,8.109688799999999e-17,4.337464697262703e-21,25,4.779999999999978e-08
Healthy,-549,0.017110490887763636,0.017413457470329997,0.000129411339884201,2.104156067025659e-05,2.104182659326002e-05,1.3493425806451614e-10,9.730983612493355e-13,8.113456693548389e-17,9.113643143408173e-21,124,2.280000000000002e-07
Healthy,-535,0.01622103808446581,0.016441314295890883,0.00010248900145184255,6.327106068766668e-06,6.327184248890392e-06,1.358473e-10,5.402320583999793e-13,8.11065525e-17,1.4318465529805443e-20,40,1.1100000000000622e-08
Healthy,-530,0.017337611135618478,0.0175366082320767,4.8499893805151004e-05,1.4906304860670744e-05,1.4906362923066566e-05,1.3226435632183907e-10,3.0045167459627967e-13,8.108086091954022e-17,1.1924526534248692e-21,87,2.99450000000001e-07
Healthy,-528,0.01554831543975829,0.01586395062414155,0.00011913181615179137,4.8648564355376626e-05,4.865238313117712e-05,1.423899872611465e-10,3.7722014588940726e-12,8.114658535031847e-17,1.1515098105603502e-20,314,2.5589000000000137e-07
Healthy,-506,0.012682787029485198,0.013151377094345822,8.452060757535339e-05,1.712078822070993e-05,1.712085134595146e-05,1.3772772058823528e-10,4.82024475960337e-13,8.110343970588236e-17,8.785689369117695e-21,136,1.64599999999995e-08
Healthy,-503,0.016128454662451608,0.016606084276296444,0.0002097497619660385,5.143075162236076e-05,5.143697208149308e-05,1.27307490625e-10,2.609547252899552e-12,8.11794225e-17,4.17003182896065e-20,320,4.246999999999995e-07
Healthy,-490,0.017084712765576174,0.01737784292109481,0.00022570953931039318,5.1399463369359816e-05,5.141396347852316e-05,1.347422284768212e-10,1.6029632808803908e-12,8.105558013245032e-17,7.305689039454753e-21,302,5.581999999999992e-07
Healthy,-486,0.013688063658683434,0.01472438209549878,0.0007242719273469312,5.132079186970934e-05,5.132160515147273e-05,1.3214090159574467e-10,5.192898416338542e-13,8.112703484042555e-17,2.3811356035327944e-20,376,1.1328000000000004e-06
Healthy,-484,0.016800266877779992,0.017363304185037152,0.00048591934224240604,5.139589501614633e-05,5.139969064410494e-05,1.317371009771987e-10,1.6125097394139746e-12,8.108384723127035e-17,8.436968360704842e-21,307,2.6829999999999877e-07
Healthy,-479,0.013084209278334775,0.013800115618477877,0.0002593499174674105,5.140723673424905e-05,5.140946624052434e-05,1.3049857614213198e-10,2.9542662368182755e-12,8.112385406091371e-17,4.4482183256141195e-20,394,7.749199999999997e-07
Healthy,-469,0.013605779079174115,0.014635469952909473,0.00030269742758764855,5.140824048681855e-05,5.140939172774253e-05,1.3437891820580475e-10,1.299556499913187e-12,8.105010791556728e-17,1.4836061480285877e-20,379,9.43000000000001e-08
Healthy,-468,0.01775217118598769,0.018078401450154824,0.00014397826084036218,5.1279328724328514e-05,5.129096665279676e-05,1.2870608620689655e-10,1.2404875657769226e-12,8.112706620689655e-17,2.844647184887924e-20,290,4.116999999999998e-07
Healthy,-460,0.010469173442646923,0.010855626436059014,0.00016793874855737732,3.6011606482842576e-05,3.601212700214246e-05,1.4152322898550724e-10,7.058598848669434e-13,8.10161423188406e-17,2.5807837626958453e-20,345,2.5985000000000057e-07
Healthy,-457,0.015981605635509235,0.01669984629010292,0.0005303366942872377,5.1284205989268895e-05,5.1288898898295473e-05,1.351760341614907e-10,1.278307646101553e-12,8.105952919254658e-17,1.8791673571230526e-20,322,3.7299999999999965e-07
Healthy,-452,0.012509307721822889,0.013354956177178242,0.0003955849734362543,3.6520121324198385e-05,3.6523430340439386e-05,1.3902939931740614e-10,1.7521382653656178e-12,8.113163720136519e-17,3.587760990005936e-20,293,2.7538999999999924e-07
Healthy,-450,0.0124066929014334,0.012534580667585693,7.652871062058241e-05,4.342295308907951e-06,4.342322119736899e-06,1.4037980555555556e-10,5.087987993833787e-13,8.101976666666668e-17,1.1149324130700734e-20,36,3.3500000000005693e-09
Healthy,-427,0.01338945355645303,0.013803711245767387,0.0002040406863690221,5.140555105711679e-05,5.1406337200407986e-05,1.283371948051948e-10,2.5281031603865135e-12,8.120386389610389e-17,2.7203592371336624e-20,385,3.207999999999987e-07
Healthy,-426,0.01682713371076212,0.017221398416286414,0.00022032998406952794,5.130142096875527e-05,5.130846439368692e-05,1.4298106209150325e-10,1.2991385718694096e-12,8.105910947712417e-17,2.717969121987364e-20,306,9.354999999999998e-07
Healthy,-411,0.01186460974696723,0.012355899023734575,0.0003543003910242923,4.174656856953885e-05,4.174952301265134e-05,1.4493718980169972e-10,4.460244045976457e-12,8.098618158640227e-17,6.503303553666049e-20,353,5.050999999999996e-07
Healthy,-406,0.017805681258016046,0.0180565347627574,9.156424324362422e-05,5.144658734934523e-05,5.145125697167779e-05,1.3197331379310346e-10,7.679113776290439e-13,8.110255379310344e-17,1.8163172446284126e-20,290,1.0465999999999994e-06
Healthy,-394,0.014360265085989482,0.016136015576032392,0.00023189234733833917,4.793981528255712e-05,4.7949016526491904e-05,1.4700767462686568e-10,5.4959144002080455e-12,8.106136447761193e-17,4.173655139570026e-20,335,5.000999999999988e-07
Healthy,-387,0.01772111194035327,0.018278487308350737,0.0003693693645253945,5.1383369293378815e-05,5.1386424671545e-05,1.2643154295532647e-10,9.273890531525035e-13,8.110221271477664e-17,2.249519358282355e-20,291,6.107999999999993e-07
Healthy,-385,0.011613220396949831,0.012094478238573585,0.0001785000412063964,3.773445085461263e-05,3.773659146413948e-05,1.383929601226994e-10,1.9202280573544025e-12,8.105718343558282e-17,6.17798436273677e-20,326,6.249999999999983e-07
Healthy,-376,0.01605511899325614,0.01636992930386429,0.00022029930473359976,5.135725371612563e-05,5.13638811709609e-05,1.3820649532710281e-10,2.310770128822715e-12,8.099785950155763e-17,6.1725383555534855e-21,321,4.72500000000001e-07
Healthy,-374,0.013584263563465523,0.0138125009957991,0.00013951697236778222,4.8893727528776075e-05,4.889950162113979e-05,1.3342206925207757e-10,3.0471792517692577e-12,8.107877811634347e-17,3.752654383230029e-20,361,4.097399999999999e-07
Healthy,-372,0.014028894451950259,0.015170203670604591,0.00043090610265042906,5.0065927995997486e-05,5.007417532385437e-05,1.3245086312849163e-10,5.655839872369619e-12,8.105748240223466e-17,2.7543268691923795e-20,358,1.293100000000013e-07
Healthy,-368,0.015548639021619555,0.016578541986795075,0.0005695872353567611,4.81831695566865e-05,4.8191692811861096e-05,1.4572392926045015e-10,1.8965455816739197e-12,8.104311446945339e-17,4.4558031204242717e-20,311,1.1611000000000015e-06
Healthy,-353,0.0109755294297078,0.01124049574680012,8.527989355552767e-05,3.0281642441096815e-05,3.028200239589925e-05,1.408651299638989e-10,1.500298104823852e-12,8.118069819494585e-17,5.0098119996311175e-20,277,3.653999999999982e-08
Healthy,-333,0.01568113907644762,0.016315852092768215,0.0002516163657925886,5.124663885419163e-05,5.125860385887359e-05,1.3214564634146342e-10,1.9980265270970532e-12,8.105370274390245e-17,1.404716471337448e-20,328,4.6530000000000044e-07
